p,q,tau,mean,std,median,min,max
0.9,0.45,5,0.40302899999999997,0.056886484853609996,0.395,0.272,0.721
0.8,0.4,5,0.488192,0.1178086632468088,0.489,0.276,0.775
0.6,0.425,5,0.510402,0.0839319509841157,0.519,0.282,0.696
1.0,0.25,5,0.777499,0.06464897523549774,0.788,0.273,0.904
0.8,0.3,5,0.6914430000000001,0.07162171982715858,0.6995,0.262,0.84
0.6,0.35,5,0.604975,0.07031064197545063,0.61,0.333,0.792
0.4,0.4,5,0.557266,0.05935723413367573,0.559,0.324,0.719
0.2,0.45,5,0.5333640000000001,0.048042122184599634,0.533,0.358,0.68
0.0,0.5,5,0.5125919999999999,0.0434242966091565,0.511,0.368,0.659
1.0,0.15,5,0.839936,0.03610869568400387,0.842,0.645,0.935
0.8,0.2,5,0.791689,0.04353183064149726,0.796,0.614,0.915
0.6,0.25,5,0.7249800000000001,0.05032080682977967,0.729,0.515,0.855
0.4,0.3,5,0.658912,0.055201995036411496,0.665,0.448,0.82
0.2,0.35,5,0.600634,0.05090609044112502,0.602,0.369,0.731
0.0,0.4,5,0.5677,0.045956544691697604,0.57,0.4,0.76
1.0,0.0,5,0.895149,0.023567112657260345,0.897,0.8,0.957
0.8,0.05,5,0.8754669999999999,0.027056698080142758,0.878,0.762,0.947
0.6,0.1,5,0.8442350000000001,0.032874758934477374,0.846,0.721,0.931
0.4,0.15,5,0.798664,0.03775382237601908,0.802,0.586,0.899
0.2,0.2,5,0.739088,0.043852072425371195,0.743,0.586,0.857
0.0,0.25,5,0.6812039999999999,0.04737242218844208,0.6835,0.456,0.809
0.1,0.05,5,0.862287,0.029446164962521025,0.865,0.715,0.938
0.2,0.125,5,0.805081,0.036118976162122854,0.809,0.639,0.901
0.4,0.025,5,0.882687,0.02520557539513829,0.884,0.793,0.952
