p,q,tau,mean,std,median,min,max
0.9,0.45,4,0.32356799999999997,0.03155020405639241,0.323,0.238,0.547
0.8,0.4,4,0.35315700000000005,0.09348336938193873,0.321,0.22,0.746
0.6,0.425,4,0.39898199999999995,0.09186463778843305,0.3965,0.235,0.646
1.0,0.25,4,0.7447469999999999,0.1151841004262307,0.774,0.236,0.906
0.8,0.3,4,0.626457,0.1240978410408497,0.657,0.22,0.86
0.6,0.35,4,0.541115,0.09176672476992954,0.556,0.237,0.724
0.4,0.4,4,0.48523,0.06452673166990562,0.49,0.25,0.643
0.2,0.45,4,0.460642,0.04898787437723748,0.461,0.295,0.598
0.0,0.5,4,0.450209,0.040610236628219734,0.45,0.333,0.574
1.0,0.15,4,0.8362950000000001,0.03707743215218659,0.841,0.671,0.924
0.8,0.2,4,0.7777050000000001,0.04508775859365821,0.779,0.608,0.895
0.6,0.25,4,0.69755,0.05550240985759087,0.702,0.43,0.83
0.4,0.3,4,0.611107,0.05677787906394532,0.616,0.396,0.776
0.2,0.35,4,0.546395,0.05363242466083367,0.549,0.354,0.69
0.0,0.4,4,0.5094310000000001,0.045734945490292216,0.51,0.359,0.633
1.0,0.0,4,0.893687,0.024917604840754674,0.896,0.762,0.948
0.8,0.05,4,0.873462,0.0274736702316964,0.876,0.774,0.941
0.6,0.1,4,0.83877,0.033394566923378416,0.84,0.717,0.921
0.4,0.15,4,0.784616,0.040184829774431045,0.788,0.646,0.885
0.2,0.2,4,0.714467,0.04575100994513673,0.715,0.552,0.835
0.0,0.25,4,0.645026,0.04760125338685947,0.648,0.48,0.77
0.1,0.05,4,0.8582000000000001,0.030307853767629286,0.861,0.734,0.931
0.2,0.125,4,0.794308,0.03880978144746501,0.7955000000000001,0.649,0.893
0.4,0.025,4,0.879488,0.026382301946570184,0.882,0.757,0.948
