p,q,R0,beta,gamma,tau,delay,I_crit,I_crit_ci_low,I_crit_ci_high,frac_no_crossing,reason,n_runs
0.5,0.305,1.5,1.5,1.0,2.5,0.5,0.115,0.115,0.121,0.0,ok,500
0.5,0.305,1.5,1.5,1.0,2.5,0.75,0.115,0.115,0.121,0.0,ok,500
0.5,0.305,1.5,1.5,1.0,2.5,1.0,0.115,0.115,0.121,0.0,ok,500
0.5,0.305,1.5,1.5,1.0,2.5,1.25,0.115,0.115,0.121,0.0,ok,500
0.5,0.305,1.5,1.5,1.0,2.5,1.5,0.115,0.115,0.121,0.0,ok,500
0.5,0.305,1.5,1.5,1.0,2.5,2.0,0.115,0.115,0.121,0.0,ok,500
0.5,0.305,1.5,1.5,1.0,3.0,0.0,0.099,0.099,0.106,0.0,ok,500
0.5,0.305,1.5,1.5,1.0,3.0,0.25,0.099,0.099,0.106,0.0,ok,500
0.5,0.305,1.5,1.5,1.0,3.0,0.5,0.099,0.099,0.106,0.0,ok,500
0.5,0.305,1.5,1.5,1.0,3.0,0.75,0.099,0.099,0.10504999999999995,0.0,ok,500
0.5,0.305,1.5,1.5,1.0,3.0,1.0,0.099,0.099,0.105,0.0,ok,500
0.5,0.305,1.5,1.5,1.0,3.0,1.25,0.099,0.099,0.106,0.0,ok,500
0.5,0.305,1.5,1.5,1.0,3.0,1.5,0.099,0.099,0.106,0.0,ok,500
0.5,0.305,1.5,1.5,1.0,3.0,2.0,0.099,0.099,0.106,0.0,ok,500
0.5,0.305,1.5,1.5,1.0,3.5,0.0,0.081,0.081,0.086,0.0,ok,500
0.5,0.305,1.5,1.5,1.0,3.5,0.25,0.081,0.081,0.087,0.0,ok,500
0.5,0.305,1.5,1.5,1.0,3.5,0.5,0.081,0.081,0.08604999999999995,0.0,ok,500
0.5,0.305,1.5,1.5,1.0,3.5,0.75,0.081,0.081,0.086,0.0,ok,500
0.5,0.305,1.5,1.5,1.0,3.5,1.0,0.081,0.081,0.087,0.0,ok,500
0.5,0.305,1.5,1.5,1.0,3.5,1.25,0.081,0.081,0.087,0.0,ok,500
0.5,0.305,1.5,1.5,1.0,3.5,1.5,0.081,0.081,0.087,0.0,ok,500
0.5,0.305,1.5,1.5,1.0,3.5,2.0,0.081,0.081,0.087,0.0,ok,500
0.5,0.305,1.5,1.5,1.0,4.0,0.0,0.059,0.059,0.063,0.0,ok,500
0.5,0.305,1.5,1.5,1.0,4.0,0.25,0.059,0.059,0.063,0.0,ok,500
0.5,0.305,1.5,1.5,1.0,4.0,0.5,0.059,0.059,0.065,0.0,ok,500
0.5,0.305,1.5,1.5,1.0,4.0,0.75,0.059,0.059,0.063,0.0,ok,500
0.5,0.305,1.5,1.5,1.0,4.0,1.0,0.059,0.059,0.063,0.0,ok,500
0.5,0.305,1.5,1.5,1.0,4.0,1.25,0.059,0.059,0.063,0.0,ok,500
0.5,0.305,1.5,1.5,1.0,4.0,1.5,0.059,0.059,0.063,0.0,ok,500
0.5,0.305,1.5,1.5,1.0,4.0,2.0,0.059,0.059,0.063,0.0,ok,500
0.5,0.305,1.75,1.75,1.0,2.5,0.0,0.124,0.124,0.14354999999999948,0.0,ok,500
0.5,0.305,1.75,1.75,1.0,2.5,0.25,0.124,0.124,0.143,0.0,ok,500
0.5,0.305,1.75,1.75,1.0,2.5,0.5,0.124,0.124,0.14354999999999948,0.0,ok,500
0.5,0.305,1.75,1.75,1.0,2.5,0.75,0.124,0.124,0.143,0.0,ok,500
0.5,0.305,1.75,1.75,1.0,2.5,1.0,0.124,0.124,0.143,0.0,ok,500
0.5,0.305,1.75,1.75,1.0,2.5,1.25,0.124,0.124,0.143,0.0,ok,500
0.5,0.305,1.75,1.75,1.0,2.5,1.5,0.124,0.124,0.143,0.0,ok,500
0.5,0.305,1.75,1.75,1.0,2.5,2.0,0.124,0.124,0.143,0.0,ok,500
0.5,0.305,1.75,1.75,1.0,3.0,0.0,0.105,0.105,0.121,0.0,ok,500
0.5,0.305,1.75,1.75,1.0,3.0,0.25,0.105,0.105,0.121,0.0,ok,500
0.5,0.305,1.75,1.75,1.0,3.0,0.5,0.105,0.105,0.126,0.0,ok,500
0.5,0.305,1.75,1.75,1.0,3.0,0.75,0.105,0.105,0.126,0.0,ok,500
0.5,0.305,1.75,1.75,1.0,3.0,1.0,0.105,0.105,0.121,0.0,ok,500
0.5,0.305,1.75,1.75,1.0,3.0,1.25,0.105,0.105,0.121,0.0,ok,500
0.5,0.305,1.75,1.75,1.0,3.0,1.5,0.105,0.105,0.121,0.0,ok,500
0.5,0.305,1.75,1.75,1.0,3.0,2.0,0.105,0.105,0.126,0.0,ok,500
0.5,0.305,1.75,1.75,1.0,3.5,0.0,0.092,0.092,0.096,0.0,ok,500
0.5,0.305,1.75,1.75,1.0,3.5,0.25,0.092,0.092,0.095,0.0,ok,500
0.5,0.305,1.75,1.75,1.0,3.5,0.5,0.092,0.092,0.096,0.0,ok,500
0.5,0.305,1.75,1.75,1.0,3.5,0.75,0.092,0.092,0.096,0.0,ok,500
0.5,0.305,1.75,1.75,1.0,3.5,1.0,0.092,0.092,0.096,0.0,ok,500
0.5,0.305,1.75,1.75,1.0,3.5,1.25,0.092,0.092,0.095,0.0,ok,500
0.5,0.305,1.75,1.75,1.0,3.5,1.5,0.092,0.092,0.096,0.0,ok,500
0.5,0.305,1.75,1.75,1.0,3.5,2.0,0.092,0.092,0.095,0.0,ok,500
0.5,0.305,1.75,1.75,1.0,4.0,0.0,0.06,0.06,0.066,0.0,ok,500
0.5,0.305,1.75,1.75,1.0,4.0,0.25,0.06,0.06,0.066,0.0,ok,500
0.5,0.305,1.75,1.75,1.0,4.0,0.5,0.06,0.06,0.066,0.0,ok,500
0.5,0.305,1.75,1.75,1.0,4.0,0.75,0.06,0.06,0.066,0.0,ok,500
0.5,0.305,1.75,1.75,1.0,4.0,1.0,0.06,0.06,0.066,0.0,ok,500
0.5,0.305,1.75,1.75,1.0,4.0,1.25,0.06,0.06,0.066,0.0,ok,500
0.5,0.305,1.75,1.75,1.0,4.0,1.5,0.06,0.06,0.066,0.0,ok,500
0.5,0.305,1.75,1.75,1.0,4.0,2.0,0.06,0.06,0.066,0.0,ok,500
