tau,delay,p,q,mean_final_epidemic_fraction,std_final_epidemic_fraction
2.0,0.0,0.0,0.0,0.6956720000000001,0.05096299510173513
2.0,0.0,0.0,0.05555555555555555,0.617336,0.05739438417362224
2.0,0.0,0.0,0.1111111111111111,0.5397399999999999,0.059519185704559725
2.0,0.0,0.0,0.16666666666666666,0.4681659999999999,0.05607444275479268
2.0,0.0,0.0,0.2222222222222222,0.405614,0.049628812620131954
2.0,0.0,0.0,0.2777777777777778,0.359238,0.04356959921725129
2.0,0.0,0.0,0.3333333333333333,0.31861399999999995,0.03855336207718997
2.0,0.0,0.0,0.38888888888888884,0.287864,0.03404155046875264
2.0,0.0,0.0,0.4444444444444444,0.264562,0.029726241856477913
2.0,0.0,0.0,0.5,0.24388200000000002,0.028284485149997
2.0,0.0,0.1111111111111111,0.0,0.6931,0.05731582860272399
2.0,0.0,0.1111111111111111,0.05555555555555555,0.62114,0.058414183497395
2.0,0.0,0.1111111111111111,0.1111111111111111,0.54266,0.05711210015371467
2.0,0.0,0.1111111111111111,0.16666666666666666,0.461946,0.060626415104447946
2.0,0.0,0.1111111111111111,0.2222222222222222,0.394794,0.051410520784121505
2.0,0.0,0.1111111111111111,0.2777777777777778,0.33908400000000005,0.04746711702217435
2.0,0.0,0.1111111111111111,0.3333333333333333,0.298302,0.04091903629195248
2.0,0.0,0.1111111111111111,0.38888888888888884,0.26538199999999995,0.03618821977523904
2.0,0.0,0.1111111111111111,0.4444444444444444,0.242498,0.030568199581449063
2.0,0.0,0.1111111111111111,0.5,0.22034800000000002,0.02868638550648816
2.0,0.0,0.2222222222222222,0.0,0.6982820000000001,0.05313267015005503
2.0,0.0,0.2222222222222222,0.05555555555555555,0.62126,0.06189509192827505
2.0,0.0,0.2222222222222222,0.1111111111111111,0.54122,0.06434999178621371
2.0,0.0,0.2222222222222222,0.16666666666666666,0.458758,0.06513275664345823
2.0,0.0,0.2222222222222222,0.2222222222222222,0.38619600000000004,0.05872477144751716
2.0,0.0,0.2222222222222222,0.2777777777777778,0.320456,0.05309125565339086
2.0,0.0,0.2222222222222222,0.3333333333333333,0.271726,0.04590151219342655
2.0,0.0,0.2222222222222222,0.38888888888888884,0.23935599999999999,0.03884454996681322
2.0,0.0,0.2222222222222222,0.4444444444444444,0.20928000000000002,0.034446577964537116
2.0,0.0,0.2222222222222222,0.5,0.185832,0.028820983226605867
2.0,0.0,0.3333333333333333,0.0,0.697244,0.05204896399839879
2.0,0.0,0.3333333333333333,0.05555555555555555,0.6292179999999999,0.0589786693889051
2.0,0.0,0.3333333333333333,0.1111111111111111,0.541304,0.06597129684958476
2.0,0.0,0.3333333333333333,0.16666666666666666,0.45769600000000005,0.07137807256073093
2.0,0.0,0.3333333333333333,0.2222222222222222,0.37211400000000006,0.06640189324750995
2.0,0.0,0.3333333333333333,0.2777777777777778,0.30193000000000003,0.062349852511585244
2.0,0.0,0.3333333333333333,0.3333333333333333,0.241012,0.05177297304071836
2.0,0.0,0.3333333333333333,0.38888888888888884,0.19951800000000003,0.04192021331731434
2.0,0.0,0.3333333333333333,0.4444444444444444,0.174382,0.02966709201619523
2.0,0.0,0.3333333333333333,0.5,0.16613599999999998,0.01783585544567341
2.0,0.0,0.4444444444444444,0.0,0.699668,0.05366639488431992
2.0,0.0,0.4444444444444444,0.05555555555555555,0.62493,0.05863655507601351
2.0,0.0,0.4444444444444444,0.1111111111111111,0.540932,0.06957531764678694
2.0,0.0,0.4444444444444444,0.16666666666666666,0.44824200000000003,0.07562243676240384
2.0,0.0,0.4444444444444444,0.2222222222222222,0.35261400000000004,0.07147807520120375
2.0,0.0,0.4444444444444444,0.2777777777777778,0.26126599999999994,0.06822883255034022
2.0,0.0,0.4444444444444444,0.3333333333333333,0.19583799999999998,0.049964313477145715
2.0,0.0,0.4444444444444444,0.38888888888888884,0.16998399999999997,0.025119349263363285
2.0,0.0,0.4444444444444444,0.4444444444444444,0.165546,0.01772840875414113
2.0,0.0,0.4444444444444444,0.5,0.165196,0.016101804875245537
2.0,0.0,0.5555555555555556,0.0,0.697154,0.04953254718325035
2.0,0.0,0.5555555555555556,0.05555555555555555,0.63102,0.06015204182962158
