beta,gamma,mean,std,median,min,max,q5,q95
0.4,0.1,0.9695039999999999,0.009513174259125321,0.97,0.924,0.993,0.953,0.984
0.4,0.2,0.834664,0.03444075012640214,0.838,0.716,0.919,0.77295,0.886
0.4,0.3,0.586751,0.06917857091378568,0.593,0.286,0.745,0.463,0.6900499999999999
