R0,tau,delay,p,q,prob_dieout,mean_R_inf
1.125,2.5,0.0,0.945,0.25,0.996,0.36965299999999995
1.125,2.5,0.0,0.84,0.44,0.999,0.36923900000000004
1.125,2.5,0.0,0.615,0.415,0.999,0.36923900000000004
1.125,2.5,0.25,0.945,0.25,0.858,0.433526
1.125,2.5,0.25,0.84,0.44,0.982,0.394977
1.125,2.5,0.25,0.615,0.415,0.973,0.397846
1.125,2.5,0.5,0.945,0.25,0.647,0.471808
1.125,2.5,0.5,0.84,0.44,0.945,0.41118600000000005
1.125,2.5,0.5,0.615,0.415,0.932,0.416798
1.125,2.5,0.75,0.945,0.25,0.569,0.49262900000000004
1.125,2.5,0.75,0.84,0.44,0.924,0.42188099999999995
1.125,2.5,0.75,0.615,0.415,0.895,0.427799
1.125,2.5,1.0,0.945,0.25,0.481,0.503101
1.125,2.5,1.0,0.84,0.44,0.917,0.42687600000000003
1.125,2.5,1.0,0.615,0.415,0.887,0.433708
1.125,2.5,1.25,0.945,0.25,0.458,0.508252
1.125,2.5,1.25,0.84,0.44,0.901,0.42958500000000005
1.125,2.5,1.25,0.615,0.415,0.882,0.436846
1.125,2.5,1.5,0.945,0.25,0.45,0.506755
1.125,2.5,1.5,0.84,0.44,0.903,0.430122
1.125,2.5,1.5,0.615,0.415,0.866,0.437329
1.125,2.5,2.0,0.945,0.25,0.522,0.49625699999999995
1.125,2.5,2.0,0.84,0.44,0.916,0.42848699999999995
1.125,2.5,2.0,0.615,0.415,0.893,0.433313
1.125,3.0,0.0,0.945,0.25,0.968,0.40917499999999996
1.125,3.0,0.0,0.84,0.44,0.968,0.409165
1.125,3.0,0.0,0.615,0.415,0.968,0.409165
1.125,3.0,0.25,0.945,0.25,0.77,0.454621
1.125,3.0,0.25,0.84,0.44,0.92,0.428802
1.125,3.0,0.25,0.615,0.415,0.909,0.430875
1.125,3.0,0.5,0.945,0.25,0.584,0.48513
1.125,3.0,0.5,0.84,0.44,0.863,0.441471
1.125,3.0,0.5,0.615,0.415,0.849,0.444987
1.125,3.0,0.75,0.945,0.25,0.499,0.502516
