p,q,tau,R0,critical_delay,status
0.84,0.44,0.5,1.125,,always_dieout
0.84,0.44,0.5,1.25,,always_dieout
0.84,0.44,0.5,1.3125,,always_dieout
0.84,0.44,0.5,1.375,,always_dieout
0.84,0.44,0.5,1.4375,,always_dieout
0.84,0.44,0.5,1.5,,always_dieout
0.84,0.44,0.5,1.75,,always_dieout
0.84,0.44,1.0,1.125,,always_dieout
0.84,0.44,1.0,1.25,,always_dieout
0.84,0.44,1.0,1.3125,,always_dieout
0.84,0.44,1.0,1.375,,always_dieout
0.84,0.44,1.0,1.4375,,always_dieout
0.84,0.44,1.0,1.5,,always_dieout
0.84,0.44,1.0,1.75,0.21614583333333331,crossed
0.84,0.44,1.5,1.125,,always_dieout
0.84,0.44,1.5,1.25,,always_dieout
0.84,0.44,1.5,1.3125,,always_dieout
0.84,0.44,1.5,1.375,,always_dieout
0.84,0.44,1.5,1.4375,0.743421052631579,crossed
0.84,0.44,1.5,1.5,0.3032786885245902,crossed
0.84,0.44,1.5,1.75,0.06730769230769232,crossed
0.84,0.44,2.0,1.125,,always_dieout
0.84,0.44,2.0,1.25,,always_dieout
0.84,0.44,2.0,1.3125,0.896551724137931,crossed
0.84,0.44,2.0,1.375,0.2732558139534884,crossed
0.84,0.44,2.0,1.4375,0.15590405904059038,crossed
0.84,0.44,2.0,1.5,0.07198443579766538,crossed
0.84,0.44,2.0,1.75,0.0,always_outbreak
0.945,0.25,0.5,1.125,,always_dieout
0.945,0.25,0.5,1.25,,always_dieout
0.945,0.25,0.5,1.3125,,always_dieout
0.945,0.25,0.5,1.375,,always_dieout
0.945,0.25,0.5,1.4375,,always_dieout
0.945,0.25,0.5,1.5,,always_dieout
0.945,0.25,0.5,1.75,0.125,crossed
0.945,0.25,1.0,1.125,,always_dieout
0.945,0.25,1.0,1.25,,always_dieout
0.945,0.25,1.0,1.3125,0.4567901234567901,crossed
0.945,0.25,1.0,1.375,0.1971326164874552,crossed
0.945,0.25,1.0,1.4375,0.1414956011730205,crossed
0.945,0.25,1.0,1.5,0.09442724458204334,crossed
0.945,0.25,1.0,1.75,0.0,always_outbreak
0.945,0.25,1.5,1.125,,always_dieout
0.945,0.25,1.5,1.25,0.39876033057851246,crossed
0.945,0.25,1.5,1.3125,0.18501805054151624,crossed
0.945,0.25,1.5,1.375,0.10927672955974843,crossed
0.945,0.25,1.5,1.4375,0.05677655677655677,crossed
0.945,0.25,1.5,1.5,0.0,always_outbreak
0.945,0.25,1.5,1.75,0.0,always_outbreak
0.945,0.25,2.0,1.125,,always_dieout
0.945,0.25,2.0,1.25,0.23684210526315788,crossed
0.945,0.25,2.0,1.3125,0.12334437086092716,crossed
0.945,0.25,2.0,1.375,0.04838709677419353,crossed
0.945,0.25,2.0,1.4375,0.0,always_outbreak
0.945,0.25,2.0,1.5,0.0,always_outbreak
0.945,0.25,2.0,1.75,0.0,always_outbreak
