R0,tau,delay,p,q,prob_dieout,mean_R_inf
1.125,1.0,1.5,0.615,0.415,1.0,0.28761400000000004
1.125,1.0,2.0,0.945,0.25,0.992,0.3777380000000001
1.125,1.0,2.0,0.84,0.44,1.0,0.27964
1.125,1.0,2.0,0.275,0.47,1.0,0.27116599999999996
1.125,1.0,2.0,0.055,0.36,1.0,0.300846
1.125,1.0,2.0,0.5,0.305,1.0,0.340524
1.125,1.0,2.0,0.615,0.415,1.0,0.28761400000000004
1.125,1.5,0.0,0.945,0.25,1.0,0.265346
1.125,1.5,0.0,0.84,0.44,1.0,0.26435000000000003
1.125,1.5,0.0,0.275,0.47,1.0,0.278358
1.125,1.5,0.0,0.055,0.36,1.0,0.341718
1.125,1.5,0.0,0.5,0.305,1.0,0.28963599999999995
1.125,1.5,0.0,0.615,0.415,1.0,0.26435000000000003
1.125,1.5,0.25,0.945,0.25,0.978,0.36899800000000005
1.125,1.5,0.25,0.84,0.44,1.0,0.304294
1.125,1.5,0.25,0.275,0.47,1.0,0.30325
1.125,1.5,0.25,0.055,0.36,1.0,0.344058
1.125,1.5,0.25,0.5,0.305,0.998,0.346986
1.125,1.5,0.25,0.615,0.415,1.0,0.3093099999999999
1.125,1.5,0.5,0.945,0.25,0.888,0.41521
1.125,1.5,0.5,0.84,0.44,1.0,0.32649199999999995
1.125,1.5,0.5,0.275,0.47,1.0,0.318092
1.125,1.5,0.5,0.055,0.36,1.0,0.34629200000000004
1.125,1.5,0.5,0.5,0.305,0.99,0.37691800000000003
1.125,1.5,0.5,0.615,0.415,1.0,0.33338999999999996
1.125,1.5,0.75,0.945,0.25,0.844,0.43377
1.125,1.5,0.75,0.84,0.44,0.998,0.33594999999999997
1.125,1.5,0.75,0.275,0.47,1.0,0.327368
1.125,1.5,0.75,0.055,0.36,1.0,0.348264
1.125,1.5,0.75,0.5,0.305,0.972,0.39359
1.125,1.5,0.75,0.615,0.415,0.998,0.34558399999999995
1.125,1.5,1.0,0.945,0.25,0.826,0.44008400000000003
1.125,1.5,1.0,0.84,0.44,1.0,0.340962
1.125,1.5,1.0,0.275,0.47,1.0,0.331116
1.125,1.5,1.0,0.055,0.36,1.0,0.349068
1.125,1.5,1.0,0.5,0.305,0.96,0.399548
1.125,1.5,1.0,0.615,0.415,1.0,0.348566
1.125,1.5,1.25,0.945,0.25,0.878,0.430024
1.125,1.5,1.25,0.84,0.44,1.0,0.340534
1.125,1.5,1.25,0.275,0.47,1.0,0.332246
1.125,1.5,1.25,0.055,0.36,1.0,0.35037599999999997
1.125,1.5,1.25,0.5,0.305,0.988,0.395158
1.125,1.5,1.25,0.615,0.415,1.0,0.347858
1.125,1.5,1.5,0.945,0.25,0.93,0.416344
