R0,tau,delay,p,q,prob_dieout,mean_R_inf
1.125,5.5,0.0,0.945,0.25,0.35,0.521602
1.125,5.5,0.0,0.84,0.44,0.35,0.521602
1.125,5.5,0.0,0.615,0.415,0.35,0.521602
1.125,5.5,0.25,0.945,0.25,0.304,0.5306700000000001
1.125,5.5,0.25,0.84,0.44,0.325,0.526399
1.125,5.5,0.25,0.615,0.415,0.319,0.526606
1.125,5.5,0.5,0.945,0.25,0.269,0.537166
1.125,5.5,0.5,0.84,0.44,0.31,0.529094
1.125,5.5,0.5,0.615,0.415,0.305,0.530249
1.125,5.5,0.75,0.945,0.25,0.248,0.5409149999999999
1.125,5.5,0.75,0.84,0.44,0.299,0.531471
1.125,5.5,0.75,0.615,0.415,0.297,0.5323439999999999
1.125,5.5,1.0,0.945,0.25,0.234,0.543789
1.125,5.5,1.0,0.84,0.44,0.28,0.533091
1.125,5.5,1.0,0.615,0.415,0.273,0.534299
1.125,5.5,1.25,0.945,0.25,0.223,0.5462370000000001
1.125,5.5,1.25,0.84,0.44,0.282,0.534176
1.125,5.5,1.25,0.615,0.415,0.271,0.535337
1.125,5.5,1.5,0.945,0.25,0.216,0.5484490000000001
1.125,5.5,1.5,0.84,0.44,0.277,0.5351330000000001
1.125,5.5,1.5,0.615,0.415,0.27,0.536447
1.125,5.5,2.0,0.945,0.25,0.209,0.551481
1.125,5.5,2.0,0.84,0.44,0.268,0.5363819999999999
1.125,5.5,2.0,0.615,0.415,0.256,0.53796
1.125,6.0,0.0,0.945,0.25,0.289,0.53223
1.125,6.0,0.0,0.84,0.44,0.289,0.53223
1.125,6.0,0.0,0.615,0.415,0.289,0.53223
1.125,6.0,0.25,0.945,0.25,0.251,0.5393
1.125,6.0,0.25,0.84,0.44,0.269,0.5359079999999999
1.125,6.0,0.25,0.615,0.415,0.269,0.5361630000000001
1.125,6.0,0.5,0.945,0.25,0.221,0.5437580000000001
1.125,6.0,0.5,0.84,0.44,0.256,0.537981
1.125,6.0,0.5,0.615,0.415,0.252,0.538778
1.125,6.0,0.75,0.945,0.25,0.22,0.5463219999999999
1.125,6.0,0.75,0.84,0.44,0.249,0.5400550000000001
1.125,6.0,0.75,0.615,0.415,0.244,0.540536
1.125,6.0,1.0,0.945,0.25,0.211,0.548749
1.125,6.0,1.0,0.84,0.44,0.25,0.5407170000000001
1.125,6.0,1.0,0.615,0.415,0.237,0.541792
1.125,6.0,1.25,0.945,0.25,0.194,0.55049
1.125,6.0,1.25,0.84,0.44,0.241,0.5415350000000001
1.125,6.0,1.25,0.615,0.415,0.24,0.5422950000000001
1.125,6.0,1.5,0.945,0.25,0.194,0.55204
1.125,6.0,1.5,0.84,0.44,0.231,0.542192
1.125,6.0,1.5,0.615,0.415,0.228,0.543104
1.125,6.0,2.0,0.945,0.25,0.182,0.5543299999999999
1.125,6.0,2.0,0.84,0.44,0.233,0.543171
1.125,6.0,2.0,0.615,0.415,0.225,0.544057
1.25,5.5,0.0,0.945,0.25,0.04,0.6053350000000001
1.25,5.5,0.0,0.84,0.44,0.04,0.6053350000000001
1.25,5.5,0.0,0.615,0.415,0.04,0.6053350000000001
1.25,5.5,0.25,0.945,0.25,0.025,0.614642
1.25,5.5,0.25,0.84,0.44,0.032,0.610096
1.25,5.5,0.25,0.615,0.415,0.032,0.6106560000000001
1.25,5.5,0.5,0.945,0.25,0.023,0.620789
1.25,5.5,0.5,0.84,0.44,0.03,0.61287
1.25,5.5,0.5,0.615,0.415,0.026,0.613947
1.25,5.5,0.75,0.945,0.25,0.02,0.624811
1.25,5.5,0.75,0.84,0.44,0.027,0.6154400000000001
1.25,5.5,0.75,0.615,0.415,0.028,0.616184
1.25,5.5,1.0,0.945,0.25,0.018,0.6278490000000001
1.25,5.5,1.0,0.84,0.44,0.026,0.616944
1.25,5.5,1.0,0.615,0.415,0.026,0.617854
1.25,5.5,1.25,0.945,0.25,0.017,0.631239
1.25,5.5,1.25,0.84,0.44,0.025,0.618004
1.25,5.5,1.25,0.615,0.415,0.026,0.6190950000000001
1.25,5.5,1.5,0.945,0.25,0.02,0.6327930000000002
1.25,5.5,1.5,0.84,0.44,0.021,0.618845
1.25,5.5,1.5,0.615,0.415,0.023,0.620212
1.25,5.5,2.0,0.945,0.25,0.018,0.6361129999999999
1.25,5.5,2.0,0.84,0.44,0.025,0.620734
1.25,5.5,2.0,0.615,0.415,0.023,0.621946
1.25,6.0,0.0,0.945,0.25,0.028,0.616648
1.25,6.0,0.0,0.84,0.44,0.028,0.616648
1.25,6.0,0.0,0.615,0.415,0.028,0.616648
1.25,6.0,0.25,0.945,0.25,0.019,0.6234339999999999
1.25,6.0,0.25,0.84,0.44,0.026,0.620133
1.25,6.0,0.25,0.615,0.415,0.026,0.620619
1.25,6.0,0.5,0.945,0.25,0.02,0.6281359999999999
1.25,6.0,0.5,0.84,0.44,0.025,0.622528
1.25,6.0,0.5,0.615,0.415,0.025,0.623112
1.25,6.0,0.75,0.945,0.25,0.015,0.6312709999999999
1.25,6.0,0.75,0.84,0.44,0.021,0.62427
1.25,6.0,0.75,0.615,0.415,0.022,0.6248889999999999
1.25,6.0,1.0,0.945,0.25,0.019,0.632631
1.25,6.0,1.0,0.84,0.44,0.021,0.625124
1.25,6.0,1.0,0.615,0.415,0.021,0.6258680000000001
1.25,6.0,1.25,0.945,0.25,0.016,0.6348810000000001
1.25,6.0,1.25,0.84,0.44,0.024,0.626259
1.25,6.0,1.25,0.615,0.415,0.022,0.627137
1.25,6.0,1.5,0.945,0.25,0.016,0.6360240000000001
1.25,6.0,1.5,0.84,0.44,0.021,0.6265830000000001
1.25,6.0,1.5,0.615,0.415,0.021,0.627783
1.25,6.0,2.0,0.945,0.25,0.015,0.6389549999999999
1.25,6.0,2.0,0.84,0.44,0.019,0.6278850000000001
1.25,6.0,2.0,0.615,0.415,0.02,0.628587
1.3125,5.5,0.0,0.945,0.25,0.005,0.649019
1.3125,5.5,0.0,0.84,0.44,0.005,0.649019
1.3125,5.5,0.0,0.615,0.415,0.005,0.649019
1.3125,5.5,0.25,0.945,0.25,0.003,0.657374
1.3125,5.5,0.25,0.84,0.44,0.005,0.653666
1.3125,5.5,0.25,0.615,0.415,0.005,0.654089
1.3125,5.5,0.5,0.945,0.25,0.004,0.663414
1.3125,5.5,0.5,0.84,0.44,0.005,0.6565250000000001
1.3125,5.5,0.5,0.615,0.415,0.003,0.6573479999999999
1.3125,5.5,0.75,0.945,0.25,0.004,0.6675519999999999
1.3125,5.5,0.75,0.84,0.44,0.004,0.6589069999999999
1.3125,5.5,0.75,0.615,0.415,0.004,0.6594500000000001
1.3125,5.5,1.0,0.945,0.25,0.003,0.670686
1.3125,5.5,1.0,0.84,0.44,0.003,0.660384
1.3125,5.5,1.0,0.615,0.415,0.003,0.661154
1.3125,5.5,1.25,0.945,0.25,0.004,0.673317
1.3125,5.5,1.25,0.84,0.44,0.003,0.660975
1.3125,5.5,1.25,0.615,0.415,0.003,0.662172
1.3125,5.5,1.5,0.945,0.25,0.003,0.67505
1.3125,5.5,1.5,0.84,0.44,0.004,0.662135
1.3125,5.5,1.5,0.615,0.415,0.004,0.663396
1.3125,5.5,2.0,0.945,0.25,0.003,0.679063
1.3125,5.5,2.0,0.84,0.44,0.003,0.663291
1.3125,5.5,2.0,0.615,0.415,0.003,0.665123
1.3125,6.0,0.0,0.945,0.25,0.003,0.659752
1.3125,6.0,0.0,0.84,0.44,0.003,0.659752
1.3125,6.0,0.0,0.615,0.415,0.003,0.659752
1.3125,6.0,0.25,0.945,0.25,0.003,0.6658130000000001
1.3125,6.0,0.25,0.84,0.44,0.003,0.6627929999999999
1.3125,6.0,0.25,0.615,0.415,0.003,0.663162
1.3125,6.0,0.5,0.945,0.25,0.003,0.669731
1.3125,6.0,0.5,0.84,0.44,0.003,0.664981
1.3125,6.0,0.5,0.615,0.415,0.003,0.6655529999999998
1.3125,6.0,0.75,0.945,0.25,0.002,0.6722290000000001
1.3125,6.0,0.75,0.84,0.44,0.003,0.666544
1.3125,6.0,0.75,0.615,0.415,0.003,0.667175
1.3125,6.0,1.0,0.945,0.25,0.003,0.6741510000000001
1.3125,6.0,1.0,0.84,0.44,0.003,0.6677519999999999
1.3125,6.0,1.0,0.615,0.415,0.003,0.668219
1.3125,6.0,1.25,0.945,0.25,0.003,0.675997
1.3125,6.0,1.25,0.84,0.44,0.003,0.6682629999999999
1.3125,6.0,1.25,0.615,0.415,0.003,0.668944
1.3125,6.0,1.5,0.945,0.25,0.003,0.6774649999999999
1.3125,6.0,1.5,0.84,0.44,0.003,0.668721
1.3125,6.0,1.5,0.615,0.415,0.003,0.669596
1.3125,6.0,2.0,0.945,0.25,0.002,0.6795399999999999
1.3125,6.0,2.0,0.84,0.44,0.003,0.6697649999999999
1.3125,6.0,2.0,0.615,0.415,0.003,0.6709449999999999
1.375,5.5,0.0,0.945,0.25,0.001,0.682627
1.375,5.5,0.0,0.84,0.44,0.001,0.682627
1.375,5.5,0.0,0.615,0.415,0.001,0.682627
