R0,tau,delay,p,q,prob_dieout,mean_R_inf
1.125,4.5,0.0,0.945,0.25,0.568,0.48951999999999996
1.125,4.5,0.0,0.84,0.44,0.568,0.48951999999999996
1.125,4.5,0.0,0.275,0.47,0.568,0.48954
1.125,4.5,0.0,0.055,0.36,0.434,0.5086660000000001
1.125,4.5,0.0,0.5,0.305,0.568,0.48952999999999997
1.125,4.5,0.0,0.615,0.415,0.568,0.48951999999999996
1.125,4.5,0.25,0.945,0.25,0.45,0.5070180000000001
1.125,4.5,0.25,0.84,0.44,0.506,0.49783400000000005
1.125,4.5,0.25,0.275,0.47,0.524,0.496798
1.125,4.5,0.25,0.055,0.36,0.394,0.510774
1.125,4.5,0.25,0.5,0.305,0.478,0.503474
1.125,4.5,0.25,0.615,0.415,0.5,0.498408
1.125,4.5,0.5,0.945,0.25,0.356,0.5175299999999999
1.125,4.5,0.5,0.84,0.44,0.462,0.5032719999999999
1.125,4.5,0.5,0.275,0.47,0.474,0.501928
1.125,4.5,0.5,0.055,0.36,0.382,0.512602
1.125,4.5,0.5,0.5,0.305,0.376,0.5131100000000001
1.125,4.5,0.5,0.615,0.415,0.462,0.504662
1.125,4.5,0.75,0.945,0.25,0.296,0.5259259999999999
1.125,4.5,0.75,0.84,0.44,0.43,0.507742
1.125,4.5,0.75,0.275,0.47,0.456,0.505482
1.125,4.5,0.75,0.055,0.36,0.384,0.512738
1.125,4.5,0.75,0.5,0.305,0.338,0.519022
1.125,4.5,0.75,0.615,0.415,0.42,0.50888
1.125,4.5,1.0,0.945,0.25,0.294,0.53206
1.125,4.5,1.0,0.84,0.44,0.404,0.509804
1.125,4.5,1.0,0.275,0.47,0.412,0.507864
1.125,4.5,1.0,0.055,0.36,0.376,0.5139239999999999
1.125,4.5,1.0,0.5,0.305,0.318,0.523726
1.125,4.5,1.0,0.615,0.415,0.402,0.5121220000000001
1.125,4.5,1.25,0.945,0.25,0.256,0.536588
1.125,4.5,1.25,0.84,0.44,0.394,0.5127200000000001
1.125,4.5,1.25,0.275,0.47,0.414,0.5090779999999999
1.125,4.5,1.25,0.055,0.36,0.382,0.51389
1.125,4.5,1.25,0.5,0.305,0.302,0.5266200000000001
1.125,4.5,1.25,0.615,0.415,0.378,0.5139239999999999
1.125,4.5,1.5,0.945,0.25,0.238,0.538528
1.125,4.5,1.5,0.84,0.44,0.384,0.513222
1.125,4.5,1.5,0.275,0.47,0.392,0.510206
1.125,4.5,1.5,0.055,0.36,0.37,0.5143340000000001
1.125,4.5,1.5,0.5,0.305,0.288,0.528866
1.125,4.5,1.5,0.615,0.415,0.366,0.516602
1.125,4.5,2.0,0.945,0.25,0.224,0.5454300000000001
1.125,4.5,2.0,0.84,0.44,0.37,0.5154759999999999
1.125,4.5,2.0,0.275,0.47,0.406,0.51149
1.125,4.5,2.0,0.055,0.36,0.366,0.5149459999999999
1.125,4.5,2.0,0.5,0.305,0.256,0.5310920000000001
1.125,4.5,2.0,0.615,0.415,0.352,0.518532
1.125,5.0,0.0,0.945,0.25,0.436,0.506448
1.125,5.0,0.0,0.84,0.44,0.436,0.506448
1.125,5.0,0.0,0.275,0.47,0.436,0.506448
1.125,5.0,0.0,0.055,0.36,0.334,0.5205620000000001
1.125,5.0,0.0,0.5,0.305,0.436,0.506448
1.125,5.0,0.0,0.615,0.415,0.436,0.506448
1.125,5.0,0.25,0.945,0.25,0.33,0.519494
1.125,5.0,0.25,0.84,0.44,0.386,0.51244
1.125,5.0,0.25,0.275,0.47,0.384,0.512164
1.125,5.0,0.25,0.055,0.36,0.306,0.5227719999999999
1.125,5.0,0.25,0.5,0.305,0.358,0.516712
1.125,5.0,0.25,0.615,0.415,0.376,0.513712
1.125,5.0,0.5,0.945,0.25,0.292,0.527208
1.125,5.0,0.5,0.84,0.44,0.356,0.517654
1.125,5.0,0.5,0.275,0.47,0.358,0.516336
1.125,5.0,0.5,0.055,0.36,0.306,0.524534
