R0,tau,delay,p,q,prob_dieout,mean_R_inf
1.125,2.5,0.0,0.945,0.25,0.996,0.36844600000000005
1.125,2.5,0.0,0.84,0.44,1.0,0.368048
1.125,2.5,0.0,0.275,0.47,0.998,0.37539999999999996
1.125,2.5,0.0,0.055,0.36,0.94,0.420642
1.125,2.5,0.0,0.5,0.305,0.968,0.380324
1.125,2.5,0.0,0.615,0.415,1.0,0.368048
1.125,2.5,0.25,0.945,0.25,0.858,0.43237000000000003
1.125,2.5,0.25,0.84,0.44,0.982,0.39449
1.125,2.5,0.25,0.275,0.47,0.978,0.3935
1.125,2.5,0.25,0.055,0.36,0.94,0.423672
1.125,2.5,0.25,0.5,0.305,0.932,0.420118
1.125,2.5,0.25,0.615,0.415,0.972,0.396914
1.125,2.5,0.5,0.945,0.25,0.652,0.471288
1.125,2.5,0.5,0.84,0.44,0.944,0.409786
1.125,2.5,0.5,0.275,0.47,0.97,0.405232
1.125,2.5,0.5,0.055,0.36,0.932,0.424948
1.125,2.5,0.5,0.5,0.305,0.848,0.442928
1.125,2.5,0.5,0.615,0.415,0.932,0.41592599999999996
1.125,2.5,0.75,0.945,0.25,0.562,0.492294
1.125,2.5,0.75,0.84,0.44,0.93,0.420904
1.125,2.5,0.75,0.275,0.47,0.956,0.412998
1.125,2.5,0.75,0.055,0.36,0.93,0.42698400000000003
1.125,2.5,0.75,0.5,0.305,0.782,0.456348
1.125,2.5,0.75,0.615,0.415,0.908,0.426618
1.125,2.5,1.0,0.945,0.25,0.48,0.503798
1.125,2.5,1.0,0.84,0.44,0.924,0.426182
1.125,2.5,1.0,0.275,0.47,0.95,0.416648
1.125,2.5,1.0,0.055,0.36,0.924,0.42720800000000003
1.125,2.5,1.0,0.5,0.305,0.736,0.464442
1.125,2.5,1.0,0.615,0.415,0.888,0.432912
1.125,2.5,1.25,0.945,0.25,0.47,0.507672
1.125,2.5,1.25,0.84,0.44,0.908,0.42904
1.125,2.5,1.25,0.275,0.47,0.942,0.419226
1.125,2.5,1.25,0.055,0.36,0.932,0.42753399999999997
1.125,2.5,1.25,0.5,0.305,0.686,0.46851800000000005
1.125,2.5,1.25,0.615,0.415,0.882,0.435938
1.125,2.5,1.5,0.945,0.25,0.446,0.50684
1.125,2.5,1.5,0.84,0.44,0.91,0.429794
1.125,2.5,1.5,0.275,0.47,0.95,0.420082
1.125,2.5,1.5,0.055,0.36,0.912,0.428332
1.125,2.5,1.5,0.5,0.305,0.67,0.471154
1.125,2.5,1.5,0.615,0.415,0.876,0.436154
1.125,2.5,2.0,0.945,0.25,0.518,0.49618000000000007
1.125,2.5,2.0,0.84,0.44,0.92,0.426776
1.125,2.5,2.0,0.275,0.47,0.94,0.420742
1.125,2.5,2.0,0.055,0.36,0.936,0.42786599999999997
1.125,2.5,2.0,0.5,0.305,0.702,0.46793799999999997
1.125,2.5,2.0,0.615,0.415,0.898,0.432442
1.125,3.0,0.0,0.945,0.25,0.97,0.407838
1.125,3.0,0.0,0.84,0.44,0.97,0.407836
1.125,3.0,0.0,0.275,0.47,0.952,0.41137199999999996
1.125,3.0,0.0,0.055,0.36,0.836,0.44995399999999997
1.125,3.0,0.0,0.5,0.305,0.946,0.41293799999999997
1.125,3.0,0.0,0.615,0.415,0.97,0.407836
1.125,3.0,0.25,0.945,0.25,0.77,0.4543439999999999
1.125,3.0,0.25,0.84,0.44,0.928,0.42794
1.125,3.0,0.25,0.275,0.47,0.922,0.427358
1.125,3.0,0.25,0.055,0.36,0.816,0.4530699999999999
1.125,3.0,0.25,0.5,0.305,0.832,0.44562999999999997
1.125,3.0,0.25,0.615,0.415,0.922,0.430058
1.125,3.0,0.5,0.945,0.25,0.608,0.48306000000000004
1.125,3.0,0.5,0.84,0.44,0.886,0.44041800000000003
1.125,3.0,0.5,0.275,0.47,0.902,0.43701
1.125,3.0,0.5,0.055,0.36,0.804,0.45364800000000005
1.125,3.0,0.5,0.5,0.305,0.732,0.46449799999999997
1.125,3.0,0.5,0.615,0.415,0.868,0.443486
1.125,3.0,0.75,0.945,0.25,0.51,0.500564
1.125,3.0,0.75,0.84,0.44,0.838,0.449242
1.125,3.0,0.75,0.275,0.47,0.864,0.4426940000000001
1.125,3.0,0.75,0.055,0.36,0.816,0.45464800000000005
1.125,3.0,0.75,0.5,0.305,0.65,0.47644000000000003
1.125,3.0,0.75,0.615,0.415,0.794,0.454968
1.125,3.0,1.0,0.945,0.25,0.436,0.5120180000000001
1.125,3.0,1.0,0.84,0.44,0.802,0.454084
1.125,3.0,1.0,0.275,0.47,0.864,0.44669200000000003
1.125,3.0,1.0,0.055,0.36,0.804,0.455038
1.125,3.0,1.0,0.5,0.305,0.604,0.483182
1.125,3.0,1.0,0.615,0.415,0.766,0.45927599999999996
1.125,3.0,1.25,0.945,0.25,0.386,0.5190899999999999
1.125,3.0,1.25,0.84,0.44,0.772,0.458298
1.125,3.0,1.25,0.275,0.47,0.844,0.449038
1.125,3.0,1.25,0.055,0.36,0.812,0.455894
1.125,3.0,1.25,0.5,0.305,0.576,0.48840200000000006
1.125,3.0,1.25,0.615,0.415,0.736,0.46330200000000005
1.125,3.0,1.5,0.945,0.25,0.356,0.523274
1.125,3.0,1.5,0.84,0.44,0.764,0.45994399999999996
1.125,3.0,1.5,0.275,0.47,0.832,0.449808
1.125,3.0,1.5,0.055,0.36,0.808,0.455138
1.125,3.0,1.5,0.5,0.305,0.564,0.49023400000000006
1.125,3.0,1.5,0.615,0.415,0.714,0.46448199999999995
1.125,3.0,2.0,0.945,0.25,0.36,0.5232680000000001
1.125,3.0,2.0,0.84,0.44,0.792,0.45916999999999997
1.125,3.0,2.0,0.275,0.47,0.822,0.451522
1.125,3.0,2.0,0.055,0.36,0.806,0.456178
1.125,3.0,2.0,0.5,0.305,0.532,0.491672
1.125,3.0,2.0,0.615,0.415,0.748,0.465138
1.125,3.5,0.0,0.945,0.25,0.884,0.440922
1.125,3.5,0.0,0.84,0.44,0.884,0.440922
1.125,3.5,0.0,0.275,0.47,0.866,0.442184
1.125,3.5,0.0,0.055,0.36,0.684,0.473822
1.125,3.5,0.0,0.5,0.305,0.864,0.442708
1.125,3.5,0.0,0.615,0.415,0.884,0.440922
1.125,3.5,0.25,0.945,0.25,0.69,0.475088
1.125,3.5,0.25,0.84,0.44,0.81,0.456352
1.125,3.5,0.25,0.275,0.47,0.808,0.454918
1.125,3.5,0.25,0.055,0.36,0.672,0.47753600000000007
1.125,3.5,0.25,0.5,0.305,0.73,0.46847400000000006
1.125,3.5,0.25,0.615,0.415,0.804,0.457834
1.125,3.5,0.5,0.945,0.25,0.53,0.49714800000000003
1.125,3.5,0.5,0.84,0.44,0.75,0.46562400000000004
1.125,3.5,0.5,0.275,0.47,0.762,0.46345
1.125,3.5,0.5,0.055,0.36,0.662,0.47864599999999996
1.125,3.5,0.5,0.5,0.305,0.61,0.48432600000000003
1.125,3.5,0.5,0.615,0.415,0.738,0.468444
1.125,3.5,0.75,0.945,0.25,0.42,0.510876
1.125,3.5,0.75,0.84,0.44,0.684,0.47411400000000004
1.125,3.5,0.75,0.275,0.47,0.736,0.469034
1.125,3.5,0.75,0.055,0.36,0.652,0.47849200000000003
1.125,3.5,0.75,0.5,0.305,0.538,0.493692
1.125,3.5,0.75,0.615,0.415,0.662,0.476956
1.125,3.5,1.0,0.945,0.25,0.356,0.521042
1.125,3.5,1.0,0.84,0.44,0.634,0.47811400000000004
