p,q,tau,R0,critical_delay,status
0.275,0.47,5.5,1.5,0.0,always_outbreak
0.275,0.47,5.5,1.75,0.0,always_outbreak
0.275,0.47,6.0,1.125,0.0,always_outbreak
0.275,0.47,6.0,1.25,0.0,always_outbreak
0.275,0.47,6.0,1.3125,0.0,always_outbreak
0.275,0.47,6.0,1.375,0.0,always_outbreak
0.275,0.47,6.0,1.4375,0.0,always_outbreak
0.275,0.47,6.0,1.5,0.0,always_outbreak
0.275,0.47,6.0,1.75,0.0,always_outbreak
0.5,0.305,2.5,1.125,,always_dieout
0.5,0.305,2.5,1.25,0.22351395066720556,crossed
0.5,0.305,2.5,1.3125,0.0,always_outbreak
0.5,0.305,2.5,1.375,0.0,always_outbreak
0.5,0.305,2.5,1.4375,0.0,always_outbreak
0.5,0.305,2.5,1.5,0.0,always_outbreak
0.5,0.305,2.5,1.75,0.0,always_outbreak
0.5,0.305,3.0,1.125,,always_dieout
0.5,0.305,3.0,1.25,0.03819348415288435,crossed
0.5,0.305,3.0,1.3125,0.0,always_outbreak
0.5,0.305,3.0,1.375,0.0,always_outbreak
0.5,0.305,3.0,1.4375,0.0,always_outbreak
0.5,0.305,3.0,1.5,0.0,always_outbreak
0.5,0.305,3.0,1.75,0.0,always_outbreak
0.5,0.305,3.5,1.125,0.9551782461618529,crossed
0.5,0.305,3.5,1.25,0.0,always_outbreak
0.5,0.305,3.5,1.3125,0.0,always_outbreak
0.5,0.305,3.5,1.375,0.0,always_outbreak
0.5,0.305,3.5,1.4375,0.0,always_outbreak
0.5,0.305,3.5,1.5,0.0,always_outbreak
0.5,0.305,3.5,1.75,0.0,always_outbreak
0.5,0.305,4.0,1.125,0.5177647058823527,crossed
0.5,0.305,4.0,1.25,0.0,always_outbreak
0.5,0.305,4.0,1.3125,0.0,always_outbreak
0.5,0.305,4.0,1.375,0.0,always_outbreak
0.5,0.305,4.0,1.4375,0.0,always_outbreak
0.5,0.305,4.0,1.5,0.0,always_outbreak
0.5,0.305,4.0,1.75,0.0,always_outbreak
0.5,0.305,4.5,1.125,0.18771514629948435,crossed
0.5,0.305,4.5,1.25,0.0,always_outbreak
0.5,0.305,4.5,1.3125,0.0,always_outbreak
0.5,0.305,4.5,1.375,0.0,always_outbreak
