p,q,tau,R0,is_monotonic,max_drop,n_violating_steps,n_delay_points
0.275,0.47,4.0,1.75,True,-0.00029199999999984794,0,8
0.275,0.47,4.5,1.125,True,0.001128000000000129,0,8
0.275,0.47,4.5,1.25,True,0.0005860000000000865,0,8
0.275,0.47,4.5,1.3125,True,0.000152000000000041,0,8
0.275,0.47,4.5,1.375,True,0.0005800000000000249,0,8
0.275,0.47,4.5,1.4375,True,0.000124000000000013,0,8
0.275,0.47,4.5,1.5,True,0.000336000000000114,0,8
0.275,0.47,4.5,1.75,True,-4.6000000000101515e-05,0,8
0.275,0.47,5.0,1.125,True,0.0008000000000000229,0,8
0.275,0.47,5.0,1.25,True,0.0008539999999999104,0,8
0.275,0.47,5.0,1.3125,True,0.00021799999999982944,0,8
0.275,0.47,5.0,1.375,True,0.0005700000000001815,0,8
0.275,0.47,5.0,1.4375,True,0.0005619999999998404,0,8
0.275,0.47,5.0,1.5,True,0.00010399999999988196,0,8
0.275,0.47,5.0,1.75,True,4.2000000000097515e-05,0,8
0.275,0.47,5.5,1.125,True,0.0007460000000000244,0,8
0.275,0.47,5.5,1.25,True,0.0001780000000001225,0,8
0.275,0.47,5.5,1.3125,True,0.000652000000000097,0,8
0.275,0.47,5.5,1.375,True,0.00013199999999990997,0,8
0.275,0.47,5.5,1.4375,True,-0.000160000000000049,0,8
0.275,0.47,5.5,1.5,True,0.0002860000000001195,0,8
0.275,0.47,5.5,1.75,True,0.0001140000000000585,0,8
0.275,0.47,6.0,1.125,True,0.00040799999999996395,0,8
0.275,0.47,6.0,1.25,True,0.00045399999999995444,0,8
0.275,0.47,6.0,1.3125,True,0.00033999999999989594,0,8
0.275,0.47,6.0,1.375,True,0.00016599999999988846,0,8
0.275,0.47,6.0,1.4375,True,0.0001100000000000545,0,8
0.275,0.47,6.0,1.5,True,-8.999999999992347e-05,0,8
0.275,0.47,6.0,1.75,True,5.399999999988747e-05,0,8
0.5,0.305,2.5,1.125,True,-0.0032160000000001077,0,8
