p,q,tau,k,beta,gamma,mean_r_inf
0.0,0.0,11,3,0.4,0.2,0.895171
0.0,0.05555555555555555,11,3,0.4,0.2,0.8778510000000002
0.0,0.1111111111111111,11,3,0.4,0.2,0.8624649999999999
0.0,0.16666666666666666,11,3,0.4,0.2,0.8479300000000001
0.0,0.2222222222222222,11,3,0.4,0.2,0.836777
0.0,0.2777777777777778,11,3,0.4,0.2,0.8195070000000001
0.0,0.3333333333333333,11,3,0.4,0.2,0.811472
0.0,0.38888888888888884,11,3,0.4,0.2,0.800442
0.0,0.4444444444444444,11,3,0.4,0.2,0.789134
0.0,0.5,11,3,0.4,0.2,0.781362
0.1111111111111111,0.0,11,3,0.4,0.2,0.895673
0.1111111111111111,0.05555555555555555,11,3,0.4,0.2,0.879422
0.1111111111111111,0.1111111111111111,11,3,0.4,0.2,0.8622739999999999
0.1111111111111111,0.16666666666666666,11,3,0.4,0.2,0.847628
0.1111111111111111,0.2222222222222222,11,3,0.4,0.2,0.835215
0.1111111111111111,0.2777777777777778,11,3,0.4,0.2,0.822376
0.1111111111111111,0.3333333333333333,11,3,0.4,0.2,0.809295
0.1111111111111111,0.38888888888888884,11,3,0.4,0.2,0.79907
0.1111111111111111,0.4444444444444444,11,3,0.4,0.2,0.785385
0.1111111111111111,0.5,11,3,0.4,0.2,0.7796190000000001
0.2222222222222222,0.0,11,3,0.4,0.2,0.89474
0.2222222222222222,0.05555555555555555,11,3,0.4,0.2,0.8802929999999999
0.2222222222222222,0.1111111111111111,11,3,0.4,0.2,0.864688
0.2222222222222222,0.16666666666666666,11,3,0.4,0.2,0.849749
0.2222222222222222,0.2222222222222222,11,3,0.4,0.2,0.835358
0.2222222222222222,0.2777777777777778,11,3,0.4,0.2,0.82152
0.2222222222222222,0.3333333333333333,11,3,0.4,0.2,0.808177
0.2222222222222222,0.38888888888888884,11,3,0.4,0.2,0.795556
0.2222222222222222,0.4444444444444444,11,3,0.4,0.2,0.7856369999999999
0.2222222222222222,0.5,11,3,0.4,0.2,0.77425
0.3333333333333333,0.0,11,3,0.4,0.2,0.8948020000000001
0.3333333333333333,0.05555555555555555,11,3,0.4,0.2,0.880457
0.3333333333333333,0.1111111111111111,11,3,0.4,0.2,0.863833
0.3333333333333333,0.16666666666666666,11,3,0.4,0.2,0.849935
0.3333333333333333,0.2222222222222222,11,3,0.4,0.2,0.834997
0.3333333333333333,0.2777777777777778,11,3,0.4,0.2,0.8199180000000001
0.3333333333333333,0.3333333333333333,11,3,0.4,0.2,0.807524
0.3333333333333333,0.38888888888888884,11,3,0.4,0.2,0.792693
0.3333333333333333,0.4444444444444444,11,3,0.4,0.2,0.7813510000000001
0.3333333333333333,0.5,11,3,0.4,0.2,0.7716500000000001
