p,q,tau,k,beta,gamma,mean_r_inf
0.0,0.0,7,3,0.4,0.2,0.894557
0.0,0.05555555555555555,7,3,0.4,0.2,0.8636900000000001
0.0,0.1111111111111111,7,3,0.4,0.2,0.83023
0.0,0.16666666666666666,7,3,0.4,0.2,0.7947860000000001
0.0,0.2222222222222222,7,3,0.4,0.2,0.760547
0.0,0.2777777777777778,7,3,0.4,0.2,0.7283350000000001
0.0,0.3333333333333333,7,3,0.4,0.2,0.697993
0.0,0.38888888888888884,7,3,0.4,0.2,0.672352
0.0,0.4444444444444444,7,3,0.4,0.2,0.65022
0.0,0.5,7,3,0.4,0.2,0.632139
0.1111111111111111,0.0,7,3,0.4,0.2,0.893572
0.1111111111111111,0.05555555555555555,7,3,0.4,0.2,0.8648020000000001
0.1111111111111111,0.1111111111111111,7,3,0.4,0.2,0.833492
0.1111111111111111,0.16666666666666666,7,3,0.4,0.2,0.799577
0.1111111111111111,0.2222222222222222,7,3,0.4,0.2,0.7658800000000001
0.1111111111111111,0.2777777777777778,7,3,0.4,0.2,0.731514
0.1111111111111111,0.3333333333333333,7,3,0.4,0.2,0.701514
0.1111111111111111,0.38888888888888884,7,3,0.4,0.2,0.671373
0.1111111111111111,0.4444444444444444,7,3,0.4,0.2,0.64926
0.1111111111111111,0.5,7,3,0.4,0.2,0.6284180000000001
0.2222222222222222,0.0,7,3,0.4,0.2,0.8959210000000001
0.2222222222222222,0.05555555555555555,7,3,0.4,0.2,0.8659279999999999
0.2222222222222222,0.1111111111111111,7,3,0.4,0.2,0.837134
0.2222222222222222,0.16666666666666666,7,3,0.4,0.2,0.804577
0.2222222222222222,0.2222222222222222,7,3,0.4,0.2,0.768648
0.2222222222222222,0.2777777777777778,7,3,0.4,0.2,0.7297730000000001
0.2222222222222222,0.3333333333333333,7,3,0.4,0.2,0.7009829999999999
0.2222222222222222,0.38888888888888884,7,3,0.4,0.2,0.67288
0.2222222222222222,0.4444444444444444,7,3,0.4,0.2,0.647022
0.2222222222222222,0.5,7,3,0.4,0.2,0.622011
0.3333333333333333,0.0,7,3,0.4,0.2,0.8951800000000001
0.3333333333333333,0.05555555555555555,7,3,0.4,0.2,0.870006
0.3333333333333333,0.1111111111111111,7,3,0.4,0.2,0.838083
0.3333333333333333,0.16666666666666666,7,3,0.4,0.2,0.806706
0.3333333333333333,0.2222222222222222,7,3,0.4,0.2,0.773712
0.3333333333333333,0.2777777777777778,7,3,0.4,0.2,0.73802
0.3333333333333333,0.3333333333333333,7,3,0.4,0.2,0.703436
0.3333333333333333,0.38888888888888884,7,3,0.4,0.2,0.6734690000000001
0.3333333333333333,0.4444444444444444,7,3,0.4,0.2,0.643823
0.3333333333333333,0.5,7,3,0.4,0.2,0.61859
0.4444444444444444,0.0,7,3,0.4,0.2,0.894404
0.4444444444444444,0.05555555555555555,7,3,0.4,0.2,0.8716560000000001
0.4444444444444444,0.1111111111111111,7,3,0.4,0.2,0.843183
0.4444444444444444,0.16666666666666666,7,3,0.4,0.2,0.811332
0.4444444444444444,0.2222222222222222,7,3,0.4,0.2,0.7753819999999999
0.4444444444444444,0.2777777777777778,7,3,0.4,0.2,0.742463
0.4444444444444444,0.3333333333333333,7,3,0.4,0.2,0.7057619999999999
0.4444444444444444,0.38888888888888884,7,3,0.4,0.2,0.6717759999999999
0.4444444444444444,0.4444444444444444,7,3,0.4,0.2,0.6363779999999999
0.4444444444444444,0.5,7,3,0.4,0.2,0.6079479999999999
0.5555555555555556,0.0,7,3,0.4,0.2,0.895445
0.5555555555555556,0.05555555555555555,7,3,0.4,0.2,0.872319
0.5555555555555556,0.1111111111111111,7,3,0.4,0.2,0.845562
0.5555555555555556,0.16666666666666666,7,3,0.4,0.2,0.8178979999999999
0.5555555555555556,0.2222222222222222,7,3,0.4,0.2,0.78426
0.5555555555555556,0.2777777777777778,7,3,0.4,0.2,0.7495150000000002
0.5555555555555556,0.3333333333333333,7,3,0.4,0.2,0.707729
