p,q,tau,k,beta,gamma,mean_r_inf
0.0,0.0,9,3,0.4,0.2,0.895183
0.0,0.05555555555555555,9,3,0.4,0.2,0.870988
0.0,0.1111111111111111,9,3,0.4,0.2,0.848361
0.0,0.16666666666666666,9,3,0.4,0.2,0.8244819999999999
0.0,0.2222222222222222,9,3,0.4,0.2,0.803464
0.0,0.2777777777777778,9,3,0.4,0.2,0.782518
0.0,0.3333333333333333,9,3,0.4,0.2,0.76403
0.0,0.38888888888888884,9,3,0.4,0.2,0.746801
0.0,0.4444444444444444,9,3,0.4,0.2,0.7347760000000001
0.0,0.5,9,3,0.4,0.2,0.7181129999999999
0.1111111111111111,0.0,9,3,0.4,0.2,0.8937470000000001
0.1111111111111111,0.05555555555555555,9,3,0.4,0.2,0.874009
0.1111111111111111,0.1111111111111111,9,3,0.4,0.2,0.848571
0.1111111111111111,0.16666666666666666,9,3,0.4,0.2,0.8275899999999999
0.1111111111111111,0.2222222222222222,9,3,0.4,0.2,0.804078
0.1111111111111111,0.2777777777777778,9,3,0.4,0.2,0.7819849999999999
0.1111111111111111,0.3333333333333333,9,3,0.4,0.2,0.762482
0.1111111111111111,0.38888888888888884,9,3,0.4,0.2,0.745628
0.1111111111111111,0.4444444444444444,9,3,0.4,0.2,0.732491
0.1111111111111111,0.5,9,3,0.4,0.2,0.717722
0.2222222222222222,0.0,9,3,0.4,0.2,0.894845
0.2222222222222222,0.05555555555555555,9,3,0.4,0.2,0.873433
0.2222222222222222,0.1111111111111111,9,3,0.4,0.2,0.8515689999999999
0.2222222222222222,0.16666666666666666,9,3,0.4,0.2,0.828795
0.2222222222222222,0.2222222222222222,9,3,0.4,0.2,0.805812
0.2222222222222222,0.2777777777777778,9,3,0.4,0.2,0.781723
0.2222222222222222,0.3333333333333333,9,3,0.4,0.2,0.7620520000000001
0.2222222222222222,0.38888888888888884,9,3,0.4,0.2,0.74429
0.2222222222222222,0.4444444444444444,9,3,0.4,0.2,0.728976
0.2222222222222222,0.5,9,3,0.4,0.2,0.7118289999999999
0.3333333333333333,0.0,9,3,0.4,0.2,0.8947769999999999
0.3333333333333333,0.05555555555555555,9,3,0.4,0.2,0.8744749999999999
0.3333333333333333,0.1111111111111111,9,3,0.4,0.2,0.8526199999999999
0.3333333333333333,0.16666666666666666,9,3,0.4,0.2,0.829684
0.3333333333333333,0.2222222222222222,9,3,0.4,0.2,0.8080539999999999
0.3333333333333333,0.2777777777777778,9,3,0.4,0.2,0.7841910000000001
0.3333333333333333,0.3333333333333333,9,3,0.4,0.2,0.763904
0.3333333333333333,0.38888888888888884,9,3,0.4,0.2,0.74123
0.3333333333333333,0.4444444444444444,9,3,0.4,0.2,0.724234
0.3333333333333333,0.5,9,3,0.4,0.2,0.708213
0.4444444444444444,0.0,9,3,0.4,0.2,0.8948879999999999
0.4444444444444444,0.05555555555555555,9,3,0.4,0.2,0.875057
0.4444444444444444,0.1111111111111111,9,3,0.4,0.2,0.854722
0.4444444444444444,0.16666666666666666,9,3,0.4,0.2,0.83374
0.4444444444444444,0.2222222222222222,9,3,0.4,0.2,0.807761
0.4444444444444444,0.2777777777777778,9,3,0.4,0.2,0.787432
0.4444444444444444,0.3333333333333333,9,3,0.4,0.2,0.763829
0.4444444444444444,0.38888888888888884,9,3,0.4,0.2,0.7409049999999999
0.4444444444444444,0.4444444444444444,9,3,0.4,0.2,0.7216739999999999
0.4444444444444444,0.5,9,3,0.4,0.2,0.699918
0.5555555555555556,0.0,9,3,0.4,0.2,0.894192
0.5555555555555556,0.05555555555555555,9,3,0.4,0.2,0.877104
0.5555555555555556,0.1111111111111111,9,3,0.4,0.2,0.857067
0.5555555555555556,0.16666666666666666,9,3,0.4,0.2,0.833472
0.5555555555555556,0.2222222222222222,9,3,0.4,0.2,0.8121970000000001
0.5555555555555556,0.2777777777777778,9,3,0.4,0.2,0.786723
0.5555555555555556,0.3333333333333333,9,3,0.4,0.2,0.760729
0.5555555555555556,0.38888888888888884,9,3,0.4,0.2,0.737255
0.5555555555555556,0.4444444444444444,9,3,0.4,0.2,0.712645
0.5555555555555556,0.5,9,3,0.4,0.2,0.6916950000000001
0.6666666666666666,0.0,9,3,0.4,0.2,0.8941650000000001
0.6666666666666666,0.05555555555555555,9,3,0.4,0.2,0.879209
0.6666666666666666,0.1111111111111111,9,3,0.4,0.2,0.860366
0.6666666666666666,0.16666666666666666,9,3,0.4,0.2,0.838687
0.6666666666666666,0.2222222222222222,9,3,0.4,0.2,0.8148119999999999
0.6666666666666666,0.2777777777777778,9,3,0.4,0.2,0.790198
0.6666666666666666,0.3333333333333333,9,3,0.4,0.2,0.761283
0.6666666666666666,0.38888888888888884,9,3,0.4,0.2,0.7328349999999999
0.6666666666666666,0.4444444444444444,9,3,0.4,0.2,0.706609
0.6666666666666666,0.5,9,3,0.4,0.2,0.684086
0.7777777777777777,0.0,9,3,0.4,0.2,0.8943669999999999
0.7777777777777777,0.05555555555555555,9,3,0.4,0.2,0.8801899999999999
0.7777777777777777,0.1111111111111111,9,3,0.4,0.2,0.861625
0.7777777777777777,0.16666666666666666,9,3,0.4,0.2,0.8397629999999999
0.7777777777777777,0.2222222222222222,9,3,0.4,0.2,0.815654
