tau,delay,p,q,mean_final_epidemic_fraction,std_final_epidemic_fraction
5,0.0,0.0,0.0,0.8957390000000001,0.023844022655928193
5,0.0,0.0,0.05555555555555555,0.857069,0.02876987912635271
5,0.0,0.0,0.1111111111111111,0.8097219999999999,0.03475593029528472
5,0.0,0.0,0.16666666666666666,0.758545,0.03967127152972016
5,0.0,0.0,0.2222222222222222,0.707238,0.04398108333922315
5,0.0,0.0,0.2777777777777778,0.657602,0.048691030102190405
5,0.0,0.0,0.3333333333333333,0.613794,0.04860230187704846
5,0.0,0.0,0.38888888888888884,0.576339,0.04958938582182871
5,0.0,0.0,0.4444444444444444,0.5448630000000001,0.047515913050187646
5,0.0,0.0,0.5,0.516722,0.047036423558144184
5,0.0,0.1111111111111111,0.0,0.8957390000000001,0.023844022655928193
5,0.0,0.1111111111111111,0.05555555555555555,0.859317,0.02998211864492633
5,0.0,0.1111111111111111,0.1111111111111111,0.815316,0.034698070552987514
5,0.0,0.1111111111111111,0.16666666666666666,0.763251,0.040948904891484124
5,0.0,0.1111111111111111,0.2222222222222222,0.7144590000000001,0.04466310683452408
5,0.0,0.1111111111111111,0.2777777777777778,0.6625219999999999,0.04798347559243629
5,0.0,0.1111111111111111,0.3333333333333333,0.614722,0.05058121365858253
5,0.0,0.1111111111111111,0.38888888888888884,0.575768,0.050225479338427165
5,0.0,0.1111111111111111,0.4444444444444444,0.5404490000000001,0.04993596900031078
5,0.0,0.1111111111111111,0.5,0.510846,0.04860832287842333
5,0.0,0.2222222222222222,0.0,0.8957390000000001,0.023844022655928193
5,0.0,0.2222222222222222,0.05555555555555555,0.8618640000000001,0.027963215935321997
5,0.0,0.2222222222222222,0.1111111111111111,0.8196939999999999,0.03500931327541309
5,0.0,0.2222222222222222,0.16666666666666666,0.7717929999999998,0.03967629467779671
5,0.0,0.2222222222222222,0.2222222222222222,0.719701,0.0449702782393541
5,0.0,0.2222222222222222,0.2777777777777778,0.667083,0.049797207480669764
5,0.0,0.2222222222222222,0.3333333333333333,0.619538,0.05122925914936691
5,0.0,0.2222222222222222,0.38888888888888884,0.57477,0.05417092937719999
5,0.0,0.2222222222222222,0.4444444444444444,0.535346,0.05238941624922857
5,0.0,0.2222222222222222,0.5,0.50169,0.051137823350011456
5,0.0,0.3333333333333333,0.0,0.8957390000000001,0.023844022655928193
5,0.0,0.3333333333333333,0.05555555555555555,0.864064,0.02838308481302736
