p,q,tau,mean_r_inf
0.0,0.0,5,0.8311
0.0,0.125,5,0.7222999999999999
0.0,0.25,5,0.6394000000000001
0.0,0.375,5,0.5530999999999999
0.0,0.5,5,0.5577
0.25,0.0,5,0.8182
0.25,0.125,5,0.7394000000000001
0.25,0.25,5,0.6074999999999999
0.25,0.375,5,0.5413
0.25,0.5,5,0.48040000000000005
0.5,0.0,5,0.8188000000000001
0.5,0.125,5,0.7622
0.5,0.25,5,0.6474
0.5,0.375,5,0.5636999999999999
0.5,0.5,5,0.4608
0.75,0.0,5,0.8090999999999999
0.75,0.125,5,0.7452
0.75,0.25,5,0.6539999999999999
0.75,0.375,5,0.4883
0.75,0.5,5,0.44300000000000006
1.0,0.0,5,0.8284999999999998
1.0,0.125,5,0.7409000000000001
1.0,0.25,5,0.6142000000000001
1.0,0.375,5,0.4242
1.0,0.5,5,0.4423
0.0,0.0,8,0.8248000000000001
0.0,0.125,8,0.7571
0.0,0.25,8,0.7334999999999999
0.0,0.375,8,0.6633000000000001
0.0,0.5,8,0.6708000000000001
0.25,0.0,8,0.8331
0.25,0.125,8,0.751
0.25,0.25,8,0.7182000000000001
0.25,0.375,8,0.6729999999999999
0.25,0.5,8,0.645
0.5,0.0,8,0.8300999999999998
0.5,0.125,8,0.7755
0.5,0.25,8,0.7399000000000001
0.5,0.375,8,0.6591
0.5,0.5,8,0.6333
0.75,0.0,8,0.8412000000000001
0.75,0.125,8,0.7814
0.75,0.25,8,0.7199000000000001
0.75,0.375,8,0.6738000000000001
0.75,0.5,8,0.6334000000000001
1.0,0.0,8,0.8344999999999999
1.0,0.125,8,0.7724
1.0,0.25,8,0.6885
1.0,0.375,8,0.6389
1.0,0.5,8,0.6323
0.0,0.0,11,0.8295999999999999
0.0,0.125,11,0.7805
0.0,0.25,11,0.7976
0.0,0.375,11,0.7877
0.0,0.5,11,0.7724
0.25,0.0,11,0.8229000000000001
0.25,0.125,11,0.7787000000000001
0.25,0.25,11,0.791
0.25,0.375,11,0.7647
0.25,0.5,11,0.7506999999999999
0.5,0.0,11,0.835
0.5,0.125,11,0.7941999999999999
0.5,0.25,11,0.7619999999999999
0.5,0.375,11,0.7621
0.5,0.5,11,0.7466999999999999
0.75,0.0,11,0.8019000000000001
0.75,0.125,11,0.7988999999999999
0.75,0.25,11,0.7408999999999999
0.75,0.375,11,0.7314999999999999
0.75,0.5,11,0.7384999999999999
1.0,0.0,11,0.8160999999999999
1.0,0.125,11,0.7832
1.0,0.25,11,0.7266
1.0,0.375,11,0.7417
1.0,0.5,11,0.6835
0.0,0.0,14,0.8429
0.0,0.125,14,0.8164
0.0,0.25,14,0.8042999999999999
0.0,0.375,14,0.7948
0.0,0.5,14,0.7880999999999999
0.25,0.0,14,0.8455999999999999
0.25,0.125,14,0.8143
0.25,0.25,14,0.7985
0.25,0.375,14,0.7686
0.25,0.5,14,0.7709
0.5,0.0,14,0.8234000000000001
0.5,0.125,14,0.8150000000000001
0.5,0.25,14,0.7826000000000001
0.5,0.375,14,0.7861
0.5,0.5,14,0.7929
0.75,0.0,14,0.8431
0.75,0.125,14,0.8158999999999998
0.75,0.25,14,0.7743
0.75,0.375,14,0.7845000000000001
0.75,0.5,14,0.8029
1.0,0.0,14,0.8362999999999999
1.0,0.125,14,0.8065000000000001
1.0,0.25,14,0.7735000000000001
1.0,0.375,14,0.789
1.0,0.5,14,0.7995000000000001
