p,q,tau,mean_r_inf
0.0,0.0,5,0.7956000000000001
0.0,0.125,5,0.7315
0.0,0.25,5,0.6296999999999999
0.0,0.375,5,0.5592999999999999
0.0,0.5,5,0.5298
0.25,0.0,5,0.8282
0.25,0.125,5,0.7441
0.25,0.25,5,0.6577
0.25,0.375,5,0.5488
0.25,0.5,5,0.513
0.5,0.0,5,0.8244999999999999
0.5,0.125,5,0.7309
0.5,0.25,5,0.6528
0.5,0.375,5,0.5302
0.5,0.5,5,0.48929999999999996
0.75,0.0,5,0.8234
0.75,0.125,5,0.7388999999999999
0.75,0.25,5,0.6376
0.75,0.375,5,0.4901000000000001
0.75,0.5,5,0.429
1.0,0.0,5,0.8462999999999999
1.0,0.125,5,0.7677
1.0,0.25,5,0.5848000000000001
1.0,0.375,5,0.4614999999999999
1.0,0.5,5,0.43640000000000007
0.0,0.0,8,0.8067
0.0,0.125,8,0.7724
0.0,0.25,8,0.7394000000000001
0.0,0.375,8,0.6890999999999999
0.0,0.5,8,0.6645
0.25,0.0,8,0.8539000000000001
0.25,0.125,8,0.7543
0.25,0.25,8,0.7119
0.25,0.375,8,0.7144
0.25,0.5,8,0.6715
0.5,0.0,8,0.8153
0.5,0.125,8,0.7633000000000001
0.5,0.25,8,0.6978
0.5,0.375,8,0.6813
0.5,0.5,8,0.6066
0.75,0.0,8,0.85
0.75,0.125,8,0.7944000000000001
0.75,0.25,8,0.6777000000000001
0.75,0.375,8,0.6507000000000001
0.75,0.5,8,0.6397999999999999
1.0,0.0,8,0.8275
1.0,0.125,8,0.7626999999999999
1.0,0.25,8,0.7175
1.0,0.375,8,0.6232
1.0,0.5,8,0.6154000000000001
0.0,0.0,11,0.8112999999999999
0.0,0.125,11,0.8098000000000001
0.0,0.25,11,0.795
0.0,0.375,11,0.7623
0.0,0.5,11,0.7405
0.25,0.0,11,0.8415000000000001
0.25,0.125,11,0.7962
0.25,0.25,11,0.772
0.25,0.375,11,0.7664
0.25,0.5,11,0.7483000000000001
0.5,0.0,11,0.8308
0.5,0.125,11,0.8073
0.5,0.25,11,0.7502000000000001
0.5,0.375,11,0.7485999999999999
0.5,0.5,11,0.7031000000000001
0.75,0.0,11,0.8416
0.75,0.125,11,0.7879
0.75,0.25,11,0.7585999999999999
0.75,0.375,11,0.7522
0.75,0.5,11,0.7238000000000001
1.0,0.0,11,0.8115
1.0,0.125,11,0.7929000000000002
1.0,0.25,11,0.7309
1.0,0.375,11,0.7253
1.0,0.5,11,0.7140000000000001
0.0,0.0,14,0.8189
0.0,0.125,14,0.8046
0.0,0.25,14,0.8014000000000001
0.0,0.375,14,0.7992
0.0,0.5,14,0.8061999999999999
0.25,0.0,14,0.8412
0.25,0.125,14,0.8005999999999999
0.25,0.25,14,0.7736000000000001
0.25,0.375,14,0.7919
0.25,0.5,14,0.7753
0.5,0.0,14,0.8155000000000001
0.5,0.125,14,0.8248
0.5,0.25,14,0.7666
0.5,0.375,14,0.7827999999999999
0.5,0.5,14,0.7867000000000001
0.75,0.0,14,0.8283999999999999
0.75,0.125,14,0.8007
0.75,0.25,14,0.782
0.75,0.375,14,0.7907
0.75,0.5,14,0.7836000000000001
1.0,0.0,14,0.8244
1.0,0.125,14,0.7912
1.0,0.25,14,0.7861000000000001
1.0,0.375,14,0.7742
1.0,0.5,14,0.7989
