tau,delay,p,q,mean_final_epidemic_fraction,std_final_epidemic_fraction
3,0.0,0.0,0.0,0.874,0.02073644135332774
3,0.0,0.0,0.020833333333333332,0.8459999999999999,0.11304866208850062
3,0.0,0.0,0.041666666666666664,0.8780000000000001,0.07224956747275375
3,0.0,0.0,0.0625,0.85,0.08276472678623427
3,0.0,0.0,0.08333333333333333,0.798,0.13971399357258388
3,0.0,0.0,0.10416666666666666,0.736,0.09316651759081693
3,0.0,0.0,0.125,0.8560000000000001,0.031304951684997084
3,0.0,0.0,0.14583333333333331,0.696,0.14791889669680477
3,0.0,0.0,0.16666666666666666,0.718,0.08983317872590282
3,0.0,0.0,0.1875,0.702,0.07854934754662195
3,0.0,0.0,0.20833333333333331,0.65,0.08944271909999157
3,0.0,0.0,0.22916666666666666,0.6380000000000001,0.1398928161129084
3,0.0,0.0,0.25,0.49400000000000005,0.14976648490233055
3,0.0,0.0,0.2708333333333333,0.518,0.15990622251807463
3,0.0,0.0,0.29166666666666663,0.524,0.12054044964243332
3,0.0,0.0,0.3125,0.48,0.09974968671630002
3,0.0,0.0,0.3333333333333333,0.48599999999999993,0.12259690045021528
3,0.0,0.0,0.35416666666666663,0.446,0.10430723848324239
3,0.0,0.0,0.375,0.47800000000000004,0.09338094023943001
3,0.0,0.0,0.3958333333333333,0.43200000000000005,0.1245792920191795
3,0.0,0.0,0.41666666666666663,0.4,0.09219544457292889
3,0.0,0.0,0.4375,0.398,0.08700574693662484
3,0.0,0.0,0.4583333333333333,0.378,0.0766159252375118
3,0.0,0.0,0.47916666666666663,0.37,0.08803408430829503
3,0.0,0.0,0.5,0.368,0.07981227975693964
3,0.0,0.041666666666666664,0.0,0.874,0.02073644135332774
3,0.0,0.041666666666666664,0.020833333333333332,0.8459999999999999,0.11304866208850062
3,0.0,0.041666666666666664,0.041666666666666664,0.8879999999999999,0.07259476565152613
3,0.0,0.041666666666666664,0.0625,0.8720000000000001,0.09257429448826494
3,0.0,0.041666666666666664,0.08333333333333333,0.764,0.12218837915284747
3,0.0,0.041666666666666664,0.10416666666666666,0.768,0.09523654760647302
3,0.0,0.041666666666666664,0.125,0.8099999999999999,0.0724568837309472
3,0.0,0.041666666666666664,0.14583333333333331,0.704,0.1446720429108541
3,0.0,0.041666666666666664,0.16666666666666666,0.756,0.10014988766843426
3,0.0,0.041666666666666664,0.1875,0.728,0.11166915420114905
3,0.0,0.041666666666666664,0.20833333333333331,0.5959999999999999,0.1033440854621105
3,0.0,0.041666666666666664,0.22916666666666666,0.608,0.1716682847820179
