p,q,tau,k,beta,gamma,mean_r_inf
0.0,0.0,5,3,0.4,0.2,0.894217
0.0,0.05555555555555555,5,3,0.4,0.2,0.854614
0.0,0.1111111111111111,5,3,0.4,0.2,0.809841
0.0,0.16666666666666666,5,3,0.4,0.2,0.758901
0.0,0.2222222222222222,5,3,0.4,0.2,0.707092
0.0,0.2777777777777778,5,3,0.4,0.2,0.656609
0.0,0.3333333333333333,5,3,0.4,0.2,0.611465
0.0,0.38888888888888884,5,3,0.4,0.2,0.57456
0.0,0.4444444444444444,5,3,0.4,0.2,0.5438780000000001
0.0,0.5,5,3,0.4,0.2,0.513248
0.1111111111111111,0.0,5,3,0.4,0.2,0.895465
0.1111111111111111,0.05555555555555555,5,3,0.4,0.2,0.8574339999999999
0.1111111111111111,0.1111111111111111,5,3,0.4,0.2,0.814936
0.1111111111111111,0.16666666666666666,5,3,0.4,0.2,0.7659020000000001
0.1111111111111111,0.2222222222222222,5,3,0.4,0.2,0.7145779999999999
0.1111111111111111,0.2777777777777778,5,3,0.4,0.2,0.6624
0.1111111111111111,0.3333333333333333,5,3,0.4,0.2,0.616352
0.1111111111111111,0.38888888888888884,5,3,0.4,0.2,0.575433
0.1111111111111111,0.4444444444444444,5,3,0.4,0.2,0.5374459999999999
0.1111111111111111,0.5,5,3,0.4,0.2,0.511475
0.2222222222222222,0.0,5,3,0.4,0.2,0.894248
0.2222222222222222,0.05555555555555555,5,3,0.4,0.2,0.859517
0.2222222222222222,0.1111111111111111,5,3,0.4,0.2,0.817373
0.2222222222222222,0.16666666666666666,5,3,0.4,0.2,0.7695160000000001
0.2222222222222222,0.2222222222222222,5,3,0.4,0.2,0.719472
0.2222222222222222,0.2777777777777778,5,3,0.4,0.2,0.6687329999999999
0.2222222222222222,0.3333333333333333,5,3,0.4,0.2,0.6143789999999999
0.2222222222222222,0.38888888888888884,5,3,0.4,0.2,0.571106
0.2222222222222222,0.4444444444444444,5,3,0.4,0.2,0.5339459999999999
0.2222222222222222,0.5,5,3,0.4,0.2,0.497953
0.3333333333333333,0.0,5,3,0.4,0.2,0.895379
0.3333333333333333,0.05555555555555555,5,3,0.4,0.2,0.861563
0.3333333333333333,0.1111111111111111,5,3,0.4,0.2,0.822761
0.3333333333333333,0.16666666666666666,5,3,0.4,0.2,0.779856
0.3333333333333333,0.2222222222222222,5,3,0.4,0.2,0.728868
0.3333333333333333,0.2777777777777778,5,3,0.4,0.2,0.6735030000000001
0.3333333333333333,0.3333333333333333,5,3,0.4,0.2,0.61966
0.3333333333333333,0.38888888888888884,5,3,0.4,0.2,0.569914
0.3333333333333333,0.4444444444444444,5,3,0.4,0.2,0.525365
0.3333333333333333,0.5,5,3,0.4,0.2,0.491506
0.4444444444444444,0.0,5,3,0.4,0.2,0.896146
0.4444444444444444,0.05555555555555555,5,3,0.4,0.2,0.8655470000000001
0.4444444444444444,0.1111111111111111,5,3,0.4,0.2,0.8286659999999999
0.4444444444444444,0.16666666666666666,5,3,0.4,0.2,0.7854800000000001
0.4444444444444444,0.2222222222222222,5,3,0.4,0.2,0.735747
0.4444444444444444,0.2777777777777778,5,3,0.4,0.2,0.683711
0.4444444444444444,0.3333333333333333,5,3,0.4,0.2,0.6252579999999999
0.4444444444444444,0.38888888888888884,5,3,0.4,0.2,0.570587
0.4444444444444444,0.4444444444444444,5,3,0.4,0.2,0.513184
0.4444444444444444,0.5,5,3,0.4,0.2,0.468735
0.5555555555555556,0.0,5,3,0.4,0.2,0.893526
0.5555555555555556,0.05555555555555555,5,3,0.4,0.2,0.867182
0.5555555555555556,0.1111111111111111,5,3,0.4,0.2,0.8357169999999999
0.5555555555555556,0.16666666666666666,5,3,0.4,0.2,0.795875
0.5555555555555556,0.2222222222222222,5,3,0.4,0.2,0.746908
0.5555555555555556,0.2777777777777778,5,3,0.4,0.2,0.6914600000000001
0.5555555555555556,0.3333333333333333,5,3,0.4,0.2,0.62521
0.5555555555555556,0.38888888888888884,5,3,0.4,0.2,0.558904
0.5555555555555556,0.4444444444444444,5,3,0.4,0.2,0.49223199999999995
0.5555555555555556,0.5,5,3,0.4,0.2,0.438585
0.6666666666666666,0.0,5,3,0.4,0.2,0.894463
0.6666666666666666,0.05555555555555555,5,3,0.4,0.2,0.870057
0.6666666666666666,0.1111111111111111,5,3,0.4,0.2,0.8409970000000001
0.6666666666666666,0.16666666666666666,5,3,0.4,0.2,0.804376
0.6666666666666666,0.2222222222222222,5,3,0.4,0.2,0.759387
0.6666666666666666,0.2777777777777778,5,3,0.4,0.2,0.702791
0.6666666666666666,0.3333333333333333,5,3,0.4,0.2,0.630906
0.6666666666666666,0.38888888888888884,5,3,0.4,0.2,0.5533779999999999
0.6666666666666666,0.4444444444444444,5,3,0.4,0.2,0.46335200000000004
0.6666666666666666,0.5,5,3,0.4,0.2,0.410985
0.7777777777777777,0.0,5,3,0.4,0.2,0.8957200000000001
0.7777777777777777,0.05555555555555555,5,3,0.4,0.2,0.873193
0.7777777777777777,0.1111111111111111,5,3,0.4,0.2,0.844666
0.7777777777777777,0.16666666666666666,5,3,0.4,0.2,0.811261
0.7777777777777777,0.2222222222222222,5,3,0.4,0.2,0.7719480000000001
0.7777777777777777,0.2777777777777778,5,3,0.4,0.2,0.712279
0.7777777777777777,0.3333333333333333,5,3,0.4,0.2,0.63749
0.7777777777777777,0.38888888888888884,5,3,0.4,0.2,0.520931
0.7777777777777777,0.4444444444444444,5,3,0.4,0.2,0.426985
